,score_beta,threshold_factor,random_parents,threshold_iterations,max_components_to_swap,result,price
183,0.8,0.5,True,5,1,0.71452836052,7680.0
184,0.8,0.5,True,5,2,0.7150815851000001,7262.0
185,0.8,0.5,True,5,3,0.7168997669000001,7480.0
186,0.8,0.9,False,5,1,0.7197979798000002,7616.0
187,0.8,0.9,False,5,2,0.7488997669,7869.0
188,0.8,0.9,False,5,3,0.7541367521400001,6813.0
189,0.8,0.9,True,5,1,0.7166029526000001,7423.0
190,0.8,0.9,True,5,2,0.71947163948,7523.0
191,0.8,0.9,True,5,3,0.73473815074,7807.0
192,0.8,0.0,False,10,1,0.7208997669000001,7835.0
193,0.8,0.0,False,10,2,0.7340870241,7735.0
194,0.8,0.0,False,10,3,0.7290209790200001,7839.0
195,0.8,0.0,True,10,1,0.7239005439,7339.0
196,0.8,0.0,True,10,2,0.7297793317800001,6218.0
197,0.8,0.0,True,10,3,0.7330815851,7467.0
198,0.8,1.0,False,10,1,0.75116239318,7252.0
199,0.8,1.0,False,10,2,0.7471623931800001,7651.0
200,0.8,1.0,False,10,3,0.7228997669000001,7785.0
201,0.8,1.0,True,10,1,0.7428562548600001,5909.0
202,0.8,1.0,True,10,2,0.7514918415,6970.0
203,0.8,1.0,True,10,3,0.73673504272,7580.0
204,0.8,0.5,False,10,1,0.7331623931800001,7500.0
205,0.8,0.5,False,10,2,0.7471623931800001,7580.0
206,0.8,0.5,False,10,3,0.7631623931800001,7495.0
207,0.8,0.5,True,10,1,0.7279549339400001,5643.0
208,0.8,0.5,True,10,2,0.7450815851000001,7711.0
209,0.8,0.5,True,10,3,0.7102408702600002,6869.0
210,0.8,0.9,False,10,1,0.7665982906000001,6671.0
211,0.8,0.9,False,10,2,0.7368997669,7827.0
212,0.8,0.9,False,10,3,0.7591623931800001,6631.0
213,0.8,0.9,True,10,1,0.74251748252,7303.0
214,0.8,0.9,True,10,2,0.7202082362200001,6494.0
215,0.8,0.9,True,10,3,0.7127785547800001,7308.0
